length,reward,crash,trap,avg_speed,distance,low_level_reward,goal_reached
2.500000000000000000e+01,-8.809156519380058725e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.249750645147292616e+00,2.062437661286822959e+02,-8.809156519380058725e+00,0.000000000000000000e+00
2.200000000000000000e+01,-9.092409878762703457e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.408862609014370548e+00,1.849949773983161663e+02,-9.092409878762703457e+00,0.000000000000000000e+00
1.100000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.096585647387906626e+01,1.206244212126697306e+02,-1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.092700015738175701e+01,1.092700015738175665e+02,-1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.720357113787695624e+00,5.832214268272617375e+01,-1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,-9.467039882827137376e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.759595256791472551e+00,2.927878577037441801e+02,-9.467039882827137376e+00,0.000000000000000000e+00
5.000000000000000000e+00,-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.062733205068547271e+01,5.313666025342736532e+01,-1.000000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,-9.437914097744760866e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.807207311372989622e+00,2.059513535388327909e+02,-9.437914097744760866e+00,0.000000000000000000e+00
6.000000000000000000e+00,-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.615850657461962214e+00,5.769510394477177329e+01,-1.000000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.964743682644769507e+00,5.978846209586861704e+01,-1.000000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+00,-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000764414318640760e+01,4.003057657274563041e+01,-1.000000000000000000e+01,0.000000000000000000e+00
7.300000000000000000e+01,-2.974313556403744840e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.542427144566437036e+00,6.235971815533498557e+02,-2.974313556403744840e+00,0.000000000000000000e+00
1.900000000000000000e+01,-9.442102381672118128e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000820317814600990e+01,1.901558603847741722e+02,-9.442102381672118128e+00,0.000000000000000000e+00
7.000000000000000000e+00,-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.044788264821843349e+01,7.313517853752902909e+01,-1.000000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,-9.356252959335916941e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.038306741242973530e+01,1.661290785988757648e+02,-9.356252959335916941e+00,0.000000000000000000e+00
8.000000000000000000e+00,-9.673360848417257074e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.093233522974571770e+00,7.274586818379657416e+01,-9.673360848417257074e+00,0.000000000000000000e+00
7.500000000000000000e+01,-1.709803468119806880e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.027425320467243175e+01,7.705689903504323865e+02,-1.709803468119806880e+00,0.000000000000000000e+00
2.600000000000000000e+01,-8.585210650156403389e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.068279828768925910e+00,2.097752755479920950e+02,-8.585210650156403389e+00,0.000000000000000000e+00
8.000000000000000000e+00,-1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.112061218835905585e+01,8.896489750687244680e+01,-1.000000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+00,-9.781693512155662518e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.397743142847387432e+00,6.578420199993171025e+01,-9.781693512155662518e+00,0.000000000000000000e+00
